Algorithm | Seconds | Milliseconds | Nanoseconds | Path | Cost
BruteForce | 0,027697 | 27,696600 | 27696600,000000 | 0,4,3,8,2,1,5,6,7 | 748
BruteForce | 0,031663 | 31,663400 | 31663400,000000 | 0,6,5,3,8,2,4,1,7 | 735
BruteForce | 0,037255 | 37,255400 | 37255400,000000 | 0,5,1,6,2,3,7,4,8 | 762
BruteForce | 0,043032 | 43,032100 | 43032100,000000 | 0,1,3,5,8,7,4,2,6 | 920
BruteForce | 0,035046 | 35,045800 | 35045800,000000 | 0,4,1,6,2,7,8,3,5 | 640
BruteForce | 0,029448 | 29,447700 | 29447700,000000 | 0,3,5,6,7,4,2,8,1 | 856
BruteForce | 0,032432 | 32,432200 | 32432200,000000 | 0,7,5,3,8,4,1,2,6 | 748
BruteForce | 0,028326 | 28,325700 | 28325700,000000 | 0,7,4,6,8,2,5,1,3 | 999
BruteForce | 0,029699 | 29,699000 | 29699000,000000 | 0,4,7,6,2,8,3,5,1 | 597
BruteForce | 0,029033 | 29,032800 | 29032800,000000 | 0,2,3,1,4,5,8,7,6 | 569
BruteForce | 0,026556 | 26,556400 | 26556400,000000 | 0,7,6,4,2,5,8,3,1 | 639
BruteForce | 0,030253 | 30,253200 | 30253200,000000 | 0,6,7,1,8,4,5,3,2 | 839
BruteForce | 0,041645 | 41,644600 | 41644600,000000 | 0,2,5,4,8,6,1,7,3 | 1079
BruteForce | 0,026190 | 26,189600 | 26189600,000000 | 0,4,5,3,8,1,6,7,2 | 825
BruteForce | 0,028795 | 28,795200 | 28795200,000000 | 0,1,8,2,7,5,4,6,3 | 581
BruteForce | 0,029737 | 29,736600 | 29736600,000000 | 0,5,8,2,4,3,1,7,6 | 846
BruteForce | 0,028924 | 28,924300 | 28924300,000000 | 0,2,5,8,1,4,3,7,6 | 887
BruteForce | 0,027824 | 27,824500 | 27824500,000000 | 0,8,1,3,6,7,5,4,2 | 666
BruteForce | 0,032500 | 32,499600 | 32499600,000000 | 0,6,8,5,7,2,1,4,3 | 1162
BruteForce | 0,030752 | 30,751800 | 30751800,000000 | 0,3,4,8,5,2,6,1,7 | 797
BruteForce | 0,030640 | 30,640400 | 30640400,000000 | 0,8,6,7,5,2,4,1,3 | 693
BruteForce | 0,031428 | 31,427600 | 31427600,000000 | 0,7,1,3,8,6,4,5,2 | 785
BruteForce | 0,028637 | 28,637000 | 28637000,000000 | 0,1,8,6,2,4,5,3,7 | 655
BruteForce | 0,039013 | 39,013400 | 39013400,000000 | 0,4,7,8,3,5,2,1,6 | 870
BruteForce | 0,027878 | 27,878100 | 27878100,000000 | 0,2,4,8,1,7,6,3,5 | 870
BruteForce | 0,028573 | 28,572800 | 28572800,000000 | 0,2,3,7,4,1,5,6,8 | 746
BruteForce | 0,032300 | 32,300000 | 32300000,000000 | 0,6,7,3,8,2,1,4,5 | 827
BruteForce | 0,032729 | 32,728500 | 32728500,000000 | 0,5,6,2,7,4,8,3,1 | 548
BruteForce | 0,031393 | 31,393000 | 31393000,000000 | 0,3,2,5,6,7,8,1,4 | 827
BruteForce | 0,033784 | 33,783600 | 33783600,000000 | 0,8,7,1,4,5,2,6,3 | 795
BruteForce | 0,032664 | 32,664500 | 32664500,000000 | 0,4,5,3,8,2,1,7,6 | 832
BruteForce | 0,029470 | 29,470100 | 29470100,000000 | 0,8,6,1,4,7,2,5,3 | 714
BruteForce | 0,029883 | 29,882900 | 29882900,000000 | 0,1,2,6,4,7,3,5,8 | 967
BruteForce | 0,034037 | 34,036900 | 34036900,000000 | 0,8,5,7,1,2,4,6,3 | 716
